row_idx,frame_idx,source_gid,tracklet_id,assigned_final_gid
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,2,0,0,0
11,2,0,0,0
12,2,0,0,0
13,2,0,0,0
14,2,0,0,0
15,3,0,0,0
16,3,0,0,0
17,3,0,0,0
18,3,0,0,0
19,3,0,0,0
20,4,0,0,0
21,4,0,0,0
22,4,0,0,0
23,4,0,0,0
24,4,0,0,0
25,4,0,0,0
26,5,0,0,0
27,5,0,0,0
28,5,0,0,0
29,5,0,0,0
30,5,0,0,0
31,5,0,0,0
32,5,0,0,0
33,6,0,0,0
34,6,0,0,0
35,6,0,0,0
36,6,0,0,0
37,6,0,0,0
38,6,0,0,0
39,7,0,0,0
40,7,0,0,0
41,7,0,0,0
42,7,0,0,0
43,7,0,0,0
44,7,0,0,0
45,8,0,0,0
46,8,0,0,0
47,8,0,0,0
48,8,0,0,0
49,8,0,0,0
50,8,0,0,0
51,9,0,0,0
52,9,0,0,0
53,9,0,0,0
54,9,0,0,0
55,9,0,0,0
56,9,0,0,0
57,10,0,0,0
58,10,0,0,0
59,10,0,0,0
60,10,0,0,0
61,10,0,0,0
62,11,0,0,0
63,11,0,0,0
64,11,0,0,0
65,11,0,0,0
66,11,0,0,0
67,11,0,0,0
68,12,0,0,0
69,12,1,1,24
70,12,2,19,25
71,12,3,25,30
72,13,0,0,0
73,13,1,1,24
74,13,2,19,25
75,13,3,25,30
76,14,0,0,0
77,14,1,1,24
78,14,2,19,25
79,14,3,25,30
80,15,0,0,0
81,15,1,1,24
82,15,2,19,25
83,15,3,25,30
84,16,0,0,0
85,16,1,1,24
86,16,2,19,25
87,16,3,25,30
88,17,0,0,0
89,17,1,1,24
90,17,2,19,25
91,17,3,25,30
92,17,4,27,27
93,18,0,0,0
94,18,1,1,24
95,18,2,19,25
96,18,3,25,30
97,18,4,27,27
98,19,0,0,0
99,19,0,0,0
100,19,1,1,24
101,19,2,19,25
102,19,3,25,30
103,19,4,27,27
104,20,0,0,0
105,20,1,1,24
106,20,2,19,25
107,20,4,27,27
108,21,0,0,0
109,21,1,1,24
110,21,2,19,25
111,21,3,25,30
112,21,4,27,27
113,22,0,0,0
114,22,0,0,0
115,22,1,1,24
116,22,2,19,25
117,22,3,25,30
118,22,4,27,27
119,23,0,0,0
120,23,0,0,0
121,23,1,1,24
122,23,2,19,25
123,23,3,25,30
124,23,4,27,27
125,24,0,0,0
126,24,0,0,0
127,24,1,1,24
128,24,2,19,25
129,24,3,25,30
130,24,4,27,27
131,25,0,0,0
132,25,0,0,0
133,25,1,1,24
134,25,2,19,25
135,25,4,27,27
136,26,0,0,0
137,26,0,0,0
138,26,0,0,0
139,26,1,1,24
140,26,2,19,25
141,26,4,27,27
142,27,0,0,0
143,27,0,0,0
144,27,0,0,0
145,27,1,1,24
146,27,2,19,25
147,27,4,27,27
148,28,0,0,0
149,28,0,0,0
150,28,1,1,24
151,28,2,19,25
152,28,4,27,27
153,29,0,0,0
154,29,0,0,0
155,29,1,1,24
156,29,2,19,25
157,29,4,27,27
158,30,0,0,0
159,30,0,0,0
160,30,1,1,24
161,30,2,19,25
162,30,4,27,27
163,31,0,0,0
164,31,0,0,0
165,31,0,0,0
166,31,1,1,24
167,31,2,19,25
168,31,4,27,27
169,32,0,0,0
170,32,0,0,0
171,32,0,0,0
172,32,1,1,24
173,32,2,19,25
174,32,4,27,27
175,33,0,0,0
176,33,0,0,0
177,33,1,1,24
178,33,2,19,25
179,33,4,27,27
180,34,0,0,0
181,34,0,0,0
182,34,1,1,24
183,34,2,19,25
184,34,4,27,27
185,35,0,0,0
186,35,0,0,0
187,35,0,0,0
188,35,0,0,0
189,35,1,1,24
190,35,2,19,25
191,35,4,27,27
192,36,0,0,0
193,36,0,0,0
194,36,0,0,0
195,36,0,0,0
196,36,1,1,24
197,36,2,19,25
198,36,4,27,27
199,37,0,0,0
200,37,0,0,0
201,37,0,0,0
202,37,0,0,0
203,37,1,1,24
204,37,2,19,25
205,37,4,27,27
206,38,0,0,0
207,38,0,0,0
208,38,0,0,0
209,38,0,0,0
210,38,0,0,0
211,38,1,1,24
212,38,2,19,25
213,38,4,27,27
214,39,0,0,0
215,39,0,0,0
216,39,0,0,0
217,39,0,0,0
218,39,0,0,0
219,39,1,1,24
220,39,2,19,25
221,39,4,27,27
222,40,0,0,0
223,40,0,0,0
224,40,0,0,0
225,40,0,0,0
226,40,1,1,24
227,40,2,19,25
228,40,4,27,27
229,41,0,0,0
230,41,0,0,0
231,41,0,0,0
232,41,0,0,0
233,41,0,0,0
234,41,1,1,24
235,41,2,19,25
236,41,4,27,27
237,42,0,0,0
238,42,0,0,0
239,42,0,0,0
240,42,0,0,0
241,42,0,0,0
242,42,1,1,24
243,42,2,19,25
244,42,4,27,27
245,43,0,0,0
246,43,0,0,0
247,43,0,0,0
248,43,0,0,0
249,43,0,0,0
250,43,1,1,24
251,43,2,19,25
252,43,4,27,27
253,44,0,0,0
254,44,0,0,0
255,44,0,0,0
256,44,0,0,0
257,44,1,1,24
258,44,2,19,25
259,44,4,27,27
260,45,0,0,0
261,45,0,0,0
262,45,0,0,0
263,45,0,0,0
264,45,1,1,24
265,45,2,19,25
266,45,4,27,27
267,46,0,0,0
268,46,0,0,0
269,46,0,0,0
270,46,0,0,0
271,46,1,1,24
272,46,2,19,25
273,46,4,27,27
274,47,0,0,0
275,47,0,0,0
276,47,0,0,0
277,47,0,0,0
278,47,1,1,24
279,47,2,19,25
280,47,4,27,27
281,48,0,0,0
282,48,0,0,0
283,48,1,1,24
284,48,2,19,25
285,48,4,27,27
286,49,0,0,0
287,49,0,0,0
288,49,0,0,0
289,49,0,0,0
290,49,1,1,24
291,49,2,19,25
292,49,4,27,27
293,50,0,0,0
294,50,0,0,0
295,50,0,0,0
296,50,1,1,24
297,50,2,19,25
298,50,4,27,27
299,51,0,0,0
300,51,0,0,0
301,51,0,0,0
302,51,1,1,24
303,51,2,19,25
304,51,4,27,27
305,52,0,0,0
306,52,0,0,0
307,52,0,0,0
308,52,1,1,24
309,52,2,19,25
310,53,0,0,0
311,53,0,0,0
312,53,1,1,24
313,53,2,19,25
314,54,0,0,0
315,54,0,0,0
316,54,0,0,0
317,54,1,1,24
318,54,2,19,25
319,55,0,0,0
320,55,0,0,0
321,55,0,0,0
322,55,0,0,0
323,55,1,1,24
324,55,2,19,25
325,55,4,28,28
326,56,0,0,0
327,56,0,0,0
328,56,0,0,0
329,56,0,0,0
330,56,1,1,24
331,56,2,19,25
332,56,4,28,28
333,57,0,0,0
334,57,0,0,0
335,57,0,0,0
336,57,0,0,0
337,57,0,0,0
338,57,1,1,24
339,57,2,19,25
340,57,4,28,28
341,58,0,0,0
342,58,0,0,0
343,58,0,0,0
344,58,0,0,0
345,58,0,0,0
346,58,1,1,24
347,58,2,19,25
348,58,4,28,28
349,59,0,0,0
350,59,0,0,0
351,59,0,0,0
352,59,0,0,0
353,59,0,0,0
354,59,0,0,0
355,59,1,1,24
356,59,2,19,25
357,59,4,28,28
358,60,0,0,0
359,60,0,0,0
360,60,0,0,0
361,60,0,0,0
362,60,0,0,0
363,60,1,1,24
364,60,2,19,25
365,60,4,28,28
366,61,0,0,0
367,61,0,0,0
368,61,0,0,0
369,61,0,0,0
370,61,0,0,0
371,61,1,1,24
372,61,2,19,25
373,61,4,28,28
374,62,0,0,0
375,62,0,0,0
376,62,0,0,0
377,62,0,0,0
378,62,0,0,0
379,62,1,1,24
380,62,2,19,25
381,62,4,28,28
382,63,0,0,0
383,63,0,0,0
384,63,0,0,0
385,63,0,0,0
386,63,0,0,0
387,63,1,1,24
388,63,2,19,25
389,64,0,0,0
390,64,0,0,0
391,64,0,0,0
392,64,0,0,0
393,64,0,0,0
394,64,1,1,24
395,64,2,19,25
396,65,0,0,0
397,65,0,0,0
398,65,0,0,0
399,65,0,0,0
400,65,0,0,0
401,65,1,1,24
402,65,2,19,25
403,66,0,0,0
404,66,0,0,0
405,66,0,0,0
406,66,0,0,0
407,66,1,1,24
408,66,2,19,25
409,67,0,0,0
410,67,0,0,0
411,67,0,0,0
412,67,0,0,0
413,67,0,0,0
414,67,1,1,24
415,67,2,19,25
416,68,0,0,0
417,68,0,0,0
418,68,0,0,0
419,68,0,0,0
420,68,1,1,24
421,68,2,19,25
422,69,0,0,0
423,69,0,0,0
