cam1_gid,cam2_gid,final_global_id,score,sim_topk,sim_mean,sim_edge,shape,rows_cam1,rows_cam2,match_type
5,4,5,0.865066,0.855424,0.865943,0.839577,0.986433,518,96,canonical_primary
2,7,2,0.817331,0.784790,0.861029,0.739066,0.996734,706,220,canonical_primary
3,2,3,0.811707,0.808817,0.830941,0.697910,0.923833,668,344,canonical_primary
4,15,4,0.799189,0.816191,0.813616,0.799392,0.574563,556,57,canonical_primary
1,9,1,0.781389,0.779727,0.763245,0.774964,0.903278,698,69,canonical_primary
2,1,2,0.788917,0.773265,0.810216,0.707475,0.946713,706,416,fragment_reuse
3,14,3,0.796419,0.793514,0.790152,0.737720,0.952846,668,255,fragment_reuse
1,11,1,0.734681,0.742544,0.701591,0.729082,0.852354,698,254,fragment_reuse
4,13,4,0.763015,0.783266,0.763430,0.749747,0.607407,556,166,fragment_reuse
1,3,1,0.774397,0.786502,0.732294,0.763723,0.911829,698,137,fragment_reuse
5,12,5,0.841415,0.841497,0.832738,0.842866,0.884571,518,91,fragment_reuse
4,10,4,0.745342,0.769081,0.742592,0.709733,0.613622,556,78,fragment_reuse
4,8,4,0.793697,0.820342,0.791226,0.776266,0.605008,556,68,fragment_reuse
1,16,1,0.749774,0.770892,0.693084,0.746536,0.874492,698,60,fragment_reuse
3,17,3,0.799196,0.819482,0.768868,0.723819,0.910767,668,58,fragment_reuse
0,14,1,,,,,,,255,anchor_side_consensus
0,11,3,,,,,,,254,anchor_side_consensus
0,3,3,,,,,,,137,anchor_side_consensus
0,9,3,,,,,,,69,anchor_side_consensus
0,16,3,,,,,,,60,anchor_side_consensus
0,17,1,,,,,,,58,anchor_side_consensus
0,6,5,,,,,,,86,overlap_dominant_reuse
0,2,1,,,,,,,344,same_cam_fragment_propagate:14
0,5,6,,,,,,,56,new
