cam1_gid,cam2_gid,score,sim_topk,sim_mean,sim_edge,shape,rows_cam1,rows_cam2
5,4,0.865066,0.855424,0.865943,0.839577,0.986433,518,96
5,12,0.841415,0.841497,0.832738,0.842866,0.884571,518,91
5,2,0.829776,0.835714,0.801510,0.831494,0.926197,518,344
5,7,0.824740,0.844137,0.780623,0.801643,0.930416,518,220
2,7,0.817331,0.784790,0.861029,0.739066,0.996734,706,220
3,2,0.811707,0.808817,0.830941,0.697910,0.923833,668,344
3,17,0.799196,0.819482,0.768868,0.723819,0.910767,668,58
4,15,0.799189,0.816191,0.813616,0.799392,0.574563,556,57
3,14,0.796419,0.793514,0.790152,0.737720,0.952846,668,255
4,8,0.793697,0.820342,0.791226,0.776266,0.605008,556,68
2,1,0.788917,0.773265,0.810216,0.707475,0.946713,706,416
4,5,0.784589,0.778203,0.784712,0.793325,0.824717,556,56
3,12,0.783629,0.760620,0.824670,0.680342,0.936300,668,91
1,9,0.781389,0.779727,0.763245,0.774964,0.903278,698,69
4,14,0.777978,0.794122,0.778623,0.812065,0.577810,556,255
1,2,0.777860,0.770699,0.807415,0.734093,0.755240,698,344
5,1,0.775291,0.766834,0.761885,0.779597,0.912907,518,416
1,3,0.774397,0.786502,0.732294,0.763723,0.911829,698,137
1,7,0.771466,0.783127,0.755775,0.778741,0.741962,698,220
2,17,0.771388,0.758329,0.774658,0.748080,0.905978,706,58
2,2,0.770403,0.746550,0.795805,0.734261,0.901888,706,344
4,2,0.768265,0.765915,0.810473,0.735376,0.618331,556,344
4,6,0.767192,0.782054,0.761174,0.730627,0.731427,556,86
2,12,0.766958,0.741392,0.813653,0.689814,0.868064,706,91
1,17,0.765032,0.771361,0.768948,0.750860,0.712909,698,58
1,14,0.764708,0.767946,0.764129,0.784647,0.706505,698,255
4,13,0.763015,0.783266,0.763430,0.749747,0.607407,556,166
3,15,0.762880,0.742777,0.772183,0.724797,0.950965,668,57
2,14,0.762744,0.753308,0.755713,0.762817,0.881905,706,255
5,6,0.762589,0.747097,0.780825,0.806148,0.726999,518,86
4,17,0.754841,0.764067,0.777176,0.738122,0.583628,556,58
1,16,0.749774,0.770892,0.693084,0.746536,0.874492,698,60
3,8,0.746856,0.742705,0.741209,0.679582,0.925077,668,68
5,14,0.746113,0.752002,0.707151,0.747578,0.900425,518,255
4,10,0.745342,0.769081,0.742592,0.709733,0.613622,556,78
1,12,0.742706,0.758452,0.762910,0.626414,0.692309,698,91
1,6,0.740457,0.709514,0.763025,0.735215,0.897007,698,86
2,9,0.739296,0.717403,0.796499,0.710640,0.671712,706,69
3,10,0.739219,0.739111,0.723522,0.660289,0.955416,668,78
1,11,0.734681,0.742544,0.701591,0.729082,0.852354,698,254
3,13,0.733421,0.729185,0.724855,0.661183,0.936221,668,166
2,15,0.732342,0.703594,0.758424,0.723385,0.857318,706,57
4,12,0.729063,0.710773,0.797715,0.702392,0.565891,556,91
3,4,0.728125,0.721010,0.727185,0.698324,0.844468,668,96
2,4,0.727700,0.717910,0.711238,0.705531,0.937298,706,96
3,7,0.725795,0.707576,0.749606,0.676825,0.838314,668,220
3,9,0.723010,0.721666,0.725583,0.665059,0.817514,668,69
1,5,0.721832,0.714714,0.704521,0.707856,0.899143,698,56
2,8,0.714598,0.693583,0.722847,0.685056,0.901975,706,68
2,11,0.714076,0.702261,0.756891,0.697021,0.616552,706,254
2,3,0.712208,0.688862,0.767277,0.679419,0.675496,706,137
4,1,0.707334,0.704474,0.708970,0.737224,0.673579,556,416
1,1,0.705624,0.686823,0.716863,0.721887,0.781521,698,416
2,13,0.704443,0.684789,0.713278,0.666380,0.891093,706,166
5,17,0.703646,0.663439,0.742134,0.647487,0.940437,518,58
1,15,0.703131,0.699933,0.709150,0.700575,0.703001,698,57
2,10,0.699046,0.683010,0.702896,0.665884,0.872757,706,78
2,16,0.697200,0.682421,0.742276,0.666453,0.636125,706,60
3,11,0.695135,0.700683,0.688367,0.655529,0.749154,668,254
3,1,0.695008,0.665207,0.709183,0.691502,0.883519,668,416
3,5,0.694600,0.690974,0.721575,0.647299,0.660997,668,56
5,15,0.693148,0.665470,0.702129,0.699535,0.874477,518,57
4,7,0.691321,0.677088,0.718752,0.690149,0.670320,556,220
3,3,0.687142,0.684690,0.684655,0.626043,0.823488,668,137
3,6,0.687031,0.673369,0.694315,0.647963,0.831698,668,86
1,8,0.683196,0.691060,0.674166,0.637657,0.739098,698,68
2,6,0.677975,0.658157,0.718413,0.637453,0.701594,706,86
4,9,0.671901,0.668207,0.668858,0.662425,0.735940,556,69
1,13,0.671661,0.675167,0.664775,0.633144,0.742196,698,166
1,10,0.670593,0.670656,0.665537,0.638770,0.750057,698,78
3,16,0.666083,0.666472,0.657816,0.624050,0.776859,668,60
5,9,0.662800,0.652670,0.669569,0.674269,0.695384,518,69
1,4,0.660558,0.663260,0.642920,0.645962,0.755536,698,96
4,11,0.660121,0.655633,0.653421,0.647925,0.755069,556,254
