tracklet_id,local_track_id,source_gid,assigned_final_gid,start_frame,end_frame,entry_side,exit_side,quality,best_score,best_prev_tracklet_id,best_prev_source_gid,same_source_best_score,same_source_best_prev_tracklet_id,same_source_bias_applied,same_source_cross_block_fired,decision_reason
1,1,1,22,115,355,right,right,0.8318985202776762,-1.0,0,0,-1.0,0,False,False,new_id_no_candidate|group_merge_pass|overlap_handoff_pass
177,2,2,23,206,212,center,center,1.0,-1.0,0,0,-1.0,0,False,False,new_id_no_candidate|group_merge_pass|overlap_handoff_pass
178,2,2,23,218,233,center,right,0.924,0.9016140159780847,177,2,0.9016140159780847,177,False,False,accepted_reentry_prev_tracklet_177_via_strong_reentry_reuse|group_merge_pass|overlap_handoff_pass
2,1,1,22,358,399,right,right,0.8241596638655462,0.3978529420626771,178,2,-1.0,0,False,False,rejected_weak_score_new_id|group_merge_pass|overlap_handoff_pass
3,1,1,22,402,402,right,right,0.8185330654000731,1.0146813861675543,1,1,1.0146813861675543,1,False,False,accepted_reentry_prev_tracklet_1_via_strong_reentry_reuse|group_merge_pass|overlap_handoff_pass
4,1,1,22,406,418,right,right,0.8243674643770552,1.0211472793079224,3,1,1.0211472793079224,3,False,False,accepted_reentry_prev_tracklet_3_via_same_candidate_safe_accept|group_merge_pass|overlap_handoff_pass
5,1,1,22,421,441,right,right,0.8222225846860483,1.013582930092306,2,1,1.013582930092306,2,False,False,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass
6,1,1,22,470,470,right,right,0.8155188162221411,1.0089787614142216,4,1,1.0089787614142216,4,False,False,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass
7,1,1,22,473,487,right,right,0.8202137376689806,1.017562069186288,4,1,1.017562069186288,4,False,False,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass
8,1,1,22,500,504,right,right,0.8255092254293022,0.9979773863345099,4,1,0.9979773863345099,4,False,False,accepted_reentry_prev_tracklet_4_via_same_candidate_safe_accept|group_merge_pass|overlap_handoff_pass
9,1,1,22,510,582,right,right,0.833127055169894,1.0116581362919643,5,1,1.0116581362919643,5,False,False,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass
10,1,1,22,588,588,right,right,0.8264340518816222,1.0098713161543862,9,1,1.0098713161543862,9,False,False,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass
11,1,1,22,603,604,right,right,0.8282608695652174,1.0124873750473657,9,1,1.0124873750473657,9,False,False,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass
