tracklet_id,local_track_id,source_gid,assigned_final_gid,start_frame,end_frame,entry_side,exit_side,quality,best_score,best_prev_tracklet_id,best_prev_source_gid,same_source_best_score,same_source_best_prev_tracklet_id,same_source_bias_applied,same_source_cross_block_fired,spatial_disambig_applied,spatial_disambig_jump_top_px,spatial_disambig_jump_sec_px,decision_reason
1,1,1,9,245,280,center,center,1.0,-1.0,0,0,-1.0,0,False,False,False,-1.0,-1.0,new_id_no_candidate
2,1,1,9,485,494,right,bottom,0.62,0.6918501473736188,1,1,0.6918501473736188,1,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_1_via_same_source_stitch_trust
3,1,1,9,543,565,center,center,0.9861123028153479,0.8225430334010716,1,1,0.8225430334010716,1,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_1_via_same_source_stitch_trust
4,1,1,9,568,594,center,center,1.0,0.8502270911642262,1,1,0.8502270911642262,1,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_1_via_same_source_stitch_trust
5,1,1,9,688,730,center,center,1.0,0.8256006468864728,4,1,0.8256006468864728,4,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_4_via_same_source_stitch_trust
6,1,1,10,738,738,center,center,0.8445652173913043,0.5256872489829182,3,1,0.5256872489829182,3,False,False,False,-1.0,-1.0,rejected_ambiguous_margin_new_id
7,1,1,9,742,743,bottom,bottom,0.62,0.7682099995147591,4,1,0.7682099995147591,4,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_4_via_same_source_stitch_trust
8,1,1,9,832,858,center,center,1.0,0.9291572585471457,5,1,0.9291572585471457,5,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_5_via_strong_reentry_reuse
9,1,1,9,869,870,center,center,1.0,0.8649896214296333,8,1,0.8649896214296333,8,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_8_via_same_candidate_safe_accept
10,1,1,9,875,880,center,center,1.0,0.9938874954638709,9,1,0.9938874954638709,9,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_9_via_strong_reentry_reuse
