tracklet_id,local_track_id,source_gid,final_gid,start_frame,end_frame,entry_side,exit_side,motion_dx,motion_dy,median_h_ratio,median_aspect,quality,num_rows,num_clean_embeds,clean_embed_count,upper_topk_count,lower_topk_count
1,1,1,13,12,96,center,center,-0.6566817164421082,0.754167914390564,0.19929088652133942,0.9589875340461731,1.0,85,10,10,8,8
2,2,2,14,12,52,center,center,-0.9924293756484985,-0.1228167861700058,0.2795813977718353,0.3640526831150055,0.949040226648665,41,10,10,8,8
10,3,3,15,12,24,center,center,-0.9911124110221863,-0.13302697241306305,0.21469615399837494,0.5287320017814636,0.816515960984398,13,5,5,5,5
11,3,3,16,49,49,center,center,0.0,0.0,0.18018412590026855,1.0441241264343262,0.9545912957910501,1,1,1,1,1
12,3,3,16,54,78,center,center,-0.4839078187942505,-0.8751190304756165,0.1946869194507599,0.9335163831710815,0.9193590064594068,24,8,8,8,8
3,2,2,14,69,74,center,center,0.8702910542488098,0.4925376772880554,0.17362046241760254,1.0184669494628906,0.891603959072015,6,2,2,2,2
4,2,2,18,102,111,center,center,-0.6474412083625793,-0.7621154189109802,0.22533731162548065,0.4990406036376953,0.8974008855085245,10,4,4,4,4
16,6,6,19,102,369,center,center,-0.996658980846405,0.08167506009340286,0.25127971172332764,0.46360015869140625,0.9262763631687243,268,10,10,8,8
13,3,3,16,110,118,center,center,0.17723004519939423,-0.9841694831848145,0.17502829432487488,1.0437109470367432,0.9413615076303156,9,3,3,3,3
5,2,2,18,122,158,center,center,-0.8699672818183899,-0.49310943484306335,0.22600778937339783,0.505379319190979,0.8828428704622281,36,10,10,8,8
6,2,2,18,163,168,center,center,0.9843814969062805,0.17604850232601166,0.2302566021680832,0.505824089050293,0.8988706092004703,6,2,2,2,2
14,3,3,16,175,207,center,center,0.3479389548301697,0.9375171065330505,0.18187861144542694,1.0004615783691406,0.9594197806437389,33,10,10,8,8
7,2,2,21,177,252,center,center,-0.9915851354598999,-0.12945622205734253,0.2042464017868042,0.4882045090198517,0.8334991939484127,76,10,10,8,8
15,3,3,16,226,229,center,center,0.5899378061294556,-0.80744868516922,0.1762831211090088,1.0286762714385986,0.9455573008524397,4,2,2,2,2
8,2,2,21,255,266,center,center,0.8321555256843567,0.5545424222946167,0.2044193297624588,0.5161973237991333,0.8357923360798796,12,4,4,4,4
9,2,2,21,271,369,center,center,0.38397544622421265,0.9233433604240417,0.20334473252296448,0.5214091539382935,0.8378630102696942,99,10,10,8,8
17,12,12,25,333,369,center,center,0.0893082544207573,0.996004045009613,0.2921271324157715,0.7312653064727783,0.8635967094175365,37,10,10,8,8
