row_idx,frame_idx,source_gid,tracklet_id,assigned_final_gid
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,2,0,0,0
11,2,0,0,0
12,2,0,0,0
13,2,0,0,0
14,2,0,0,0
15,3,0,0,0
16,3,0,0,0
17,3,0,0,0
18,3,0,0,0
19,3,0,0,0
20,4,0,0,0
21,4,0,0,0
22,4,0,0,0
23,4,0,0,0
24,4,0,0,0
25,4,0,0,0
26,5,0,0,0
27,5,0,0,0
28,5,0,0,0
29,5,0,0,0
30,5,0,0,0
31,5,0,0,0
32,5,0,0,0
33,6,0,0,0
34,6,0,0,0
35,6,0,0,0
36,6,0,0,0
37,6,0,0,0
38,6,0,0,0
39,6,0,0,0
40,7,0,0,0
41,7,0,0,0
42,7,0,0,0
43,7,0,0,0
44,7,0,0,0
45,7,0,0,0
46,7,0,0,0
47,8,0,0,0
48,8,0,0,0
49,8,0,0,0
50,8,0,0,0
51,8,0,0,0
52,8,0,0,0
53,9,0,0,0
54,9,0,0,0
55,9,0,0,0
56,9,0,0,0
57,9,0,0,0
58,9,0,0,0
59,10,0,0,0
60,10,0,0,0
61,10,0,0,0
62,10,0,0,0
63,10,0,0,0
64,11,0,0,0
65,11,0,0,0
66,11,0,0,0
67,11,0,0,0
68,11,0,0,0
69,12,0,0,0
70,12,1,1,13
71,12,2,2,14
72,12,3,10,15
73,13,0,0,0
74,13,0,0,0
75,13,1,1,13
76,13,2,2,14
77,13,3,10,15
78,14,0,0,0
79,14,0,0,0
80,14,1,1,13
81,14,2,2,14
82,14,3,10,15
83,15,0,0,0
84,15,0,0,0
85,15,1,1,13
86,15,2,2,14
87,15,3,10,15
88,16,0,0,0
89,16,1,1,13
90,16,2,2,14
91,16,3,10,15
92,17,0,0,0
93,17,0,0,0
94,17,0,0,0
95,17,1,1,13
96,17,2,2,14
97,17,3,10,15
98,18,0,0,0
99,18,0,0,0
100,18,1,1,13
101,18,2,2,14
102,18,3,10,15
103,19,0,0,0
104,19,0,0,0
105,19,1,1,13
106,19,2,2,14
107,19,3,10,15
108,20,0,0,0
109,20,0,0,0
110,20,1,1,13
111,20,2,2,14
112,20,3,10,15
113,21,0,0,0
114,21,0,0,0
115,21,1,1,13
116,21,2,2,14
117,21,3,10,15
118,22,0,0,0
119,22,0,0,0
120,22,0,0,0
121,22,1,1,13
122,22,2,2,14
123,22,3,10,15
124,23,0,0,0
125,23,0,0,0
126,23,0,0,0
127,23,1,1,13
128,23,2,2,14
129,23,3,10,15
130,24,0,0,0
131,24,0,0,0
132,24,0,0,0
133,24,1,1,13
134,24,2,2,14
135,24,3,10,15
136,25,0,0,0
137,25,0,0,0
138,25,0,0,0
139,25,1,1,13
140,25,2,2,14
141,26,0,0,0
142,26,0,0,0
143,26,0,0,0
144,26,1,1,13
145,26,2,2,14
146,27,0,0,0
147,27,0,0,0
148,27,0,0,0
149,27,1,1,13
150,27,2,2,14
151,28,0,0,0
152,28,0,0,0
153,28,1,1,13
154,28,2,2,14
155,29,0,0,0
156,29,0,0,0
157,29,0,0,0
158,29,1,1,13
159,29,2,2,14
160,30,0,0,0
161,30,0,0,0
162,30,0,0,0
163,30,1,1,13
164,30,2,2,14
165,31,0,0,0
166,31,0,0,0
167,31,0,0,0
168,31,0,0,0
169,31,1,1,13
170,31,2,2,14
171,32,0,0,0
172,32,0,0,0
173,32,0,0,0
174,32,0,0,0
175,32,1,1,13
176,32,2,2,14
177,33,0,0,0
178,33,0,0,0
179,33,0,0,0
180,33,1,1,13
181,33,2,2,14
182,34,0,0,0
183,34,0,0,0
184,34,0,0,0
185,34,1,1,13
186,34,2,2,14
187,35,0,0,0
188,35,0,0,0
189,35,0,0,0
190,35,0,0,0
191,35,1,1,13
192,35,2,2,14
193,36,0,0,0
194,36,0,0,0
195,36,0,0,0
196,36,0,0,0
197,36,1,1,13
198,36,2,2,14
199,37,0,0,0
200,37,0,0,0
201,37,0,0,0
202,37,0,0,0
203,37,0,0,0
204,37,1,1,13
205,37,2,2,14
206,38,0,0,0
207,38,0,0,0
208,38,0,0,0
209,38,0,0,0
210,38,0,0,0
211,38,0,0,0
212,38,1,1,13
213,38,2,2,14
214,39,0,0,0
215,39,0,0,0
216,39,0,0,0
217,39,0,0,0
218,39,0,0,0
219,39,0,0,0
220,39,1,1,13
221,39,2,2,14
222,40,0,0,0
223,40,0,0,0
224,40,0,0,0
225,40,0,0,0
226,40,0,0,0
227,40,1,1,13
228,40,2,2,14
229,41,0,0,0
230,41,0,0,0
231,41,0,0,0
232,41,0,0,0
233,41,0,0,0
234,41,0,0,0
235,41,1,1,13
236,41,2,2,14
237,42,0,0,0
238,42,0,0,0
239,42,0,0,0
240,42,0,0,0
241,42,0,0,0
242,42,0,0,0
243,42,1,1,13
244,42,2,2,14
245,43,0,0,0
246,43,0,0,0
247,43,0,0,0
248,43,0,0,0
249,43,0,0,0
250,43,0,0,0
251,43,1,1,13
252,43,2,2,14
253,44,0,0,0
254,44,0,0,0
255,44,0,0,0
256,44,0,0,0
257,44,0,0,0
258,44,1,1,13
259,44,2,2,14
260,45,0,0,0
261,45,0,0,0
262,45,0,0,0
263,45,0,0,0
264,45,0,0,0
265,45,1,1,13
266,45,2,2,14
267,46,0,0,0
268,46,0,0,0
269,46,0,0,0
270,46,0,0,0
271,46,0,0,0
272,46,1,1,13
273,46,2,2,14
274,47,0,0,0
275,47,0,0,0
276,47,0,0,0
277,47,0,0,0
278,47,0,0,0
279,47,0,0,0
280,47,1,1,13
281,47,2,2,14
282,48,0,0,0
283,48,0,0,0
284,48,0,0,0
285,48,0,0,0
286,48,0,0,0
287,48,1,1,13
288,48,2,2,14
289,49,0,0,0
290,49,0,0,0
291,49,0,0,0
292,49,0,0,0
293,49,1,1,13
294,49,2,2,14
295,49,3,11,16
296,50,0,0,0
297,50,0,0,0
298,50,0,0,0
299,50,0,0,0
300,50,1,1,13
301,50,2,2,14
302,51,0,0,0
303,51,0,0,0
304,51,0,0,0
305,51,0,0,0
306,51,1,1,13
307,51,2,2,14
308,52,0,0,0
309,52,0,0,0
310,52,0,0,0
311,52,1,1,13
312,52,2,2,14
313,53,0,0,0
314,53,0,0,0
315,53,0,0,0
316,53,1,1,13
317,54,0,0,0
318,54,0,0,0
319,54,0,0,0
320,54,0,0,0
321,54,1,1,13
322,54,3,12,16
323,55,0,0,0
324,55,0,0,0
325,55,0,0,0
326,55,0,0,0
327,55,0,0,0
328,55,1,1,13
329,55,3,12,16
330,56,0,0,0
331,56,0,0,0
332,56,0,0,0
333,56,0,0,0
334,56,0,0,0
335,56,1,1,13
336,56,3,12,16
337,57,0,0,0
338,57,0,0,0
339,57,0,0,0
340,57,0,0,0
341,57,0,0,0
342,57,0,0,0
343,57,1,1,13
344,57,3,12,16
345,58,0,0,0
346,58,0,0,0
347,58,0,0,0
348,58,0,0,0
349,58,0,0,0
350,58,0,0,0
351,58,1,1,13
352,58,3,12,16
353,59,0,0,0
354,59,0,0,0
355,59,0,0,0
356,59,0,0,0
357,59,0,0,0
358,59,0,0,0
359,59,0,0,0
360,59,1,1,13
361,59,3,12,16
362,60,0,0,0
363,60,0,0,0
364,60,0,0,0
365,60,0,0,0
366,60,0,0,0
367,60,0,0,0
368,60,0,0,0
369,60,1,1,13
370,60,3,12,16
371,61,0,0,0
372,61,0,0,0
373,61,0,0,0
374,61,0,0,0
375,61,0,0,0
376,61,0,0,0
377,61,0,0,0
378,61,1,1,13
379,61,3,12,16
380,62,0,0,0
381,62,0,0,0
382,62,0,0,0
383,62,0,0,0
384,62,0,0,0
385,62,0,0,0
386,62,0,0,0
387,62,1,1,13
388,62,3,12,16
389,63,0,0,0
390,63,0,0,0
391,63,0,0,0
392,63,0,0,0
393,63,0,0,0
394,63,0,0,0
395,63,1,1,13
396,63,3,12,16
397,64,0,0,0
398,64,0,0,0
399,64,0,0,0
400,64,0,0,0
401,64,0,0,0
402,64,0,0,0
403,64,1,1,13
404,64,3,12,16
405,65,0,0,0
406,65,0,0,0
407,65,0,0,0
408,65,0,0,0
409,65,0,0,0
410,65,0,0,0
411,65,1,1,13
412,65,3,12,16
413,66,0,0,0
414,66,0,0,0
415,66,0,0,0
416,66,0,0,0
417,66,0,0,0
418,66,1,1,13
419,66,3,12,16
420,67,0,0,0
421,67,0,0,0
422,67,0,0,0
423,67,0,0,0
