tracklet_id,local_track_id,source_gid,assigned_final_gid,start_frame,end_frame,entry_side,exit_side,quality,best_score,best_prev_tracklet_id,best_prev_source_gid,same_source_best_score,same_source_best_prev_tracklet_id,same_source_bias_applied,same_source_cross_block_fired,spatial_disambig_applied,spatial_disambig_jump_top_px,spatial_disambig_jump_sec_px,decision_reason
1,1,1,77,9,253,center,center,1.0,-1.0,0,0,-1.0,0,False,False,False,-1.0,-1.0,new_id_no_candidate|local_consistency_pass
3,2,2,78,9,13,center,center,0.8906507775756908,-1.0,0,0,-1.0,0,False,False,False,-1.0,-1.0,new_id_no_candidate|local_consistency_pass
4,3,3,79,9,14,center,center,0.8348674983603146,-1.0,0,0,-1.0,0,False,False,False,-1.0,-1.0,new_id_no_candidate|local_consistency_pass
5,4,4,80,9,12,center,center,0.9428245333627279,-1.0,0,0,-1.0,0,False,False,False,-1.0,-1.0,new_id_no_candidate|local_consistency_pass
6,5,5,81,9,895,center,center,0.926268899728101,-1.0,0,0,-1.0,0,False,False,False,-1.0,-1.0,new_id_no_candidate|local_consistency_pass
10,6,6,87,32,51,center,right,0.9558148977038712,0.6818630111232161,3,2,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
13,7,7,83,36,50,center,center,0.9122778191137566,0.4920810926917163,3,2,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
14,8,8,84,42,62,right,right,0.46382332510550517,0.7030530112551273,3,2,-1.0,0,False,False,False,-1.0,-1.0,rejected_ambiguous_margin_new_id|local_consistency_pass
11,6,6,85,54,59,right,right,0.9879511150908775,0.6498690123483393,10,6,0.6498690123483393,10,False,False,False,-1.0,-1.0,rejected_weak_score_new_id|local_consistency_pass
16,9,9,86,63,70,center,center,0.8346314361650009,0.7585012365697951,3,2,-1.0,0,False,False,False,-1.0,-1.0,rejected_weak_score_new_id|local_consistency_pass
15,8,8,84,65,65,right,right,0.7263617908583186,0.910709402790588,14,8,0.910709402790588,14,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_14_via_strong_reentry_reuse|local_consistency_pass
12,6,6,87,70,133,right,center,0.9776171373000022,0.8700434509691017,11,6,0.8700434509691017,11,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
17,9,9,88,99,101,right,right,0.7592870462228101,0.6342768366434256,14,8,0.45464717189834625,16,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
18,11,11,89,118,123,center,center,0.8627245921516754,0.7857417829753942,3,2,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
19,12,12,90,169,213,center,center,0.9626787206973839,0.9041059056648622,12,6,-1.0,0,False,False,False,-1.0,-1.0,rejected_weak_score_new_id|local_consistency_pass
23,13,13,91,171,179,right,right,0.489505787037037,0.4427294822914415,10,6,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
24,13,13,91,192,200,right,right,0.49016785163139326,0.9520092345848521,23,13,0.9520092345848521,23,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_23_via_strong_reentry_reuse|local_consistency_pass
25,13,13,91,214,285,right,right,0.4895358647027483,0.9736380152327029,24,13,0.9736380152327029,24,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_24_via_same_candidate_safe_accept|local_consistency_pass
20,12,12,90,222,229,center,center,0.9519586364638449,0.9656327285233922,19,12,0.9656327285233922,19,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
21,12,12,90,234,237,center,center,0.9390798955577602,0.9651595047494355,20,12,0.9651595047494355,20,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
2,1,1,94,258,679,center,center,1.0,0.7574069004254449,1,1,0.7574069004254449,1,False,False,False,-1.0,-1.0,rejected_weak_score_new_id|local_consistency_pass
22,12,12,90,266,272,center,center,0.9728475437242798,0.9509670545388245,20,12,0.9509670545388245,20,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
26,15,15,84,274,277,right,right,0.4576003247170782,0.8829544590747199,14,8,-1.0,0,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_14_via_same_candidate_safe_accept|local_consistency_pass
27,15,15,84,280,285,right,right,0.4474166322200176,0.9856596939003038,26,15,0.9856596939003038,26,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_26_via_strong_reentry_reuse|local_consistency_pass
28,16,16,84,457,491,right,right,0.44550572158840385,0.8637936882238313,26,15,-1.0,0,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_26_via_same_candidate_safe_accept|local_consistency_pass
31,17,17,96,499,613,center,center,0.9589590567129631,0.9720480703552786,20,12,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
29,16,16,84,519,519,right,right,0.4826858098177542,0.7873853663225772,28,16,0.7873853663225772,28,True,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_28_via_same_candidate_safe_accept|local_consistency_pass
30,16,16,84,536,539,right,right,0.4619375597075249,0.9278553187296947,28,16,0.9278553187296947,28,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_28_via_strong_reentry_reuse|local_consistency_pass
45,18,18,94,686,895,center,center,1.0,0.8973835865277636,2,1,-1.0,0,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_2_via_strong_reentry_reuse|local_consistency_pass
48,19,19,97,746,760,center,center,0.8015039873490366,0.7774750232010756,5,4,-1.0,0,False,False,False,-1.0,-1.0,rejected_weak_score_new_id|local_consistency_pass
7,5,5,81,908,1192,center,center,0.8994779238117528,0.8968424227448034,6,5,0.8968424227448034,6,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_6_via_strong_reentry_reuse|local_consistency_pass
46,18,18,94,908,1291,center,center,1.0,0.9739015102883166,45,18,0.9739015102883166,45,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_45_via_strong_reentry_reuse|local_consistency_pass
32,17,17,96,1130,1135,center,center,0.9946379197898295,0.9321216820312488,19,12,0.8843250410120422,31,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
33,17,17,96,1148,1213,center,center,0.9643823715828924,0.9542185528449233,32,17,0.9542185528449233,32,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
49,21,21,100,1163,1164,right,right,0.45960787542254555,0.7694508485867049,3,2,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
50,22,22,86,1172,1189,center,center,0.9577708050864366,0.8688334806694015,16,9,-1.0,0,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_16_via_strong_reentry_reuse|local_consistency_pass
53,23,23,101,1184,1211,center,center,0.9649298578653628,0.8347358219251761,48,19,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
51,22,22,86,1192,1192,center,center,0.7405851289538005,0.7512646537984284,50,22,0.7512646537984284,50,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_50_via_same_candidate_safe_accept|local_consistency_pass
8,5,5,102,1196,1234,center,right,0.9871707658462785,0.7057221784508814,7,5,0.7057221784508814,7,False,False,False,-1.0,-1.0,rejected_ambiguous_margin_new_id|local_consistency_pass
52,22,22,86,1199,1206,center,center,0.8264787605117236,0.7918676127555551,50,22,0.7918676127555551,50,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_50_via_same_candidate_safe_accept|local_consistency_pass
34,17,17,96,1218,1228,center,center,0.9312221070993013,0.9368665475733771,33,17,0.9368665475733771,33,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
54,24,24,81,1237,1460,center,center,0.9994619163834011,0.7499740932371782,7,5,-1.0,0,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_7_via_same_candidate_safe_accept|local_consistency_pass
9,5,5,104,1238,1238,right,right,0.4803863811728395,0.5190371921920203,8,5,0.5190371921920203,8,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
35,17,17,96,1238,1262,center,center,0.9390907987858825,1.0077511575214375,34,17,1.0077511575214375,34,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
56,25,25,106,1239,1239,center,center,0.9202679155152333,0.759000174615419,4,3,-1.0,0,False,False,False,-1.0,-1.0,rejected_ambiguous_margin_new_id|local_consistency_pass
36,17,17,96,1268,1268,center,center,0.9322822504109234,0.9979271358891454,35,17,0.9979271358891454,35,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
37,17,17,96,1271,1277,center,center,0.9177730160613669,1.0424345774109112,36,17,1.0424345774109112,36,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
38,17,17,96,1281,1281,center,center,0.9061890731779987,0.9910331200967343,36,17,0.9910331200967343,36,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
39,17,17,96,1284,1291,center,center,0.9462882916725613,1.0421332460961492,38,17,1.0421332460961492,38,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
47,18,18,94,1294,1379,center,center,1.0,0.8325536943528202,2,1,0.7219676847141328,45,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_2_via_same_candidate_safe_accept|local_consistency_pass
57,26,26,111,1299,1299,center,center,0.9494328271520147,0.730693597904153,50,22,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
40,17,17,96,1304,1339,center,center,0.9609601124942421,0.9907293775732053,35,17,0.9907293775732053,35,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
58,26,26,113,1312,1352,center,right,0.9945876050843022,0.7607169621272756,57,26,0.7607169621272756,57,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
59,27,27,114,1354,1391,center,center,1.0,0.8831996956183932,2,1,-1.0,0,False,False,False,-1.0,-1.0,rejected_overlap_conflict_new_id|local_consistency_pass
60,27,27,115,1394,1398,left,left,1.0,0.5249745386226733,47,18,0.4983738847324305,59,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
61,28,28,116,1423,1454,center,center,0.9954548275282441,0.824217517458966,58,26,-1.0,0,False,False,False,-1.0,-1.0,rejected_ambiguous_margin_new_id|local_consistency_pass
55,24,24,84,1464,1467,center,center,0.9044179549713404,0.7940380959294662,14,8,0.7032295231793629,54,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_14_via_same_candidate_safe_accept|local_consistency_pass
62,29,29,117,1469,1486,right,center,0.9966043610630924,0.7910111478552753,3,2,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
41,17,17,96,1506,1506,center,center,0.9659956459435626,0.9531213360824793,33,17,0.9531213360824793,33,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
42,17,17,96,1514,1614,center,center,0.9717812477035567,0.9764374067621767,31,17,0.9764374067621767,31,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
65,31,31,120,1568,1710,center,center,0.9292980685637049,0.7614234947820417,54,24,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
63,29,29,117,1637,1645,center,center,0.8901058507250635,0.9241120846477254,62,29,0.9241120846477254,62,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_62_via_strong_reentry_reuse|local_consistency_pass
64,29,29,117,1648,1649,center,center,0.9359696502057613,0.9598929220310531,63,29,0.9598929220310531,63,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_63_via_same_candidate_safe_accept|local_consistency_pass
43,17,17,96,1664,1666,center,center,0.9620916923868312,0.9867700259741344,31,17,0.9867700259741344,31,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
44,17,17,96,1671,1731,center,center,0.967261273240006,0.9998769657461564,43,17,0.9998769657461564,43,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
68,34,34,123,1682,1684,center,center,0.8043145576131687,0.7743206789523724,55,24,-1.0,0,False,False,False,-1.0,-1.0,rejected_ambiguous_margin_new_id|local_consistency_pass
69,35,35,124,1697,1705,center,center,0.920820299044855,0.8404473707446966,68,34,-1.0,0,False,False,False,-1.0,-1.0,rejected_ambiguous_margin_new_id|local_consistency_pass
72,36,36,131,1715,1765,center,center,0.9734740084939858,0.8521827154891136,55,24,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
66,31,31,126,1725,1768,center,center,0.9571622969195172,0.761247961863931,57,26,0.7506284646667538,65,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
70,35,35,127,1732,1732,center,center,0.8524710442576062,0.8119949159060655,65,31,0.6899547158491729,69,False,False,False,-1.0,-1.0,rejected_ambiguous_margin_new_id|local_consistency_pass
71,35,35,128,1742,1743,right,right,0.62,0.7484058647281128,50,22,0.6074503738167247,69,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
67,31,31,129,1771,1771,center,center,0.9808390361303779,0.8224917195941892,66,31,0.8224917195941892,66,False,False,False,-1.0,-1.0,rejected_ambiguous_margin_new_id|local_consistency_pass
73,36,36,131,1771,1776,center,center,0.951833759687764,0.911896992257141,72,36,0.911896992257141,72,True,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
